trade_id,date,action,price,shares,position_value,cash,pnl,pnl_pct,cum_pnl,cum_pnl_pct
67,2023-09-01 04:00:00+00:00,买入,257.26,853297,219519194.55,114.43,,,,
67,2023-09-28 04:00:00+00:00,卖出,240.02,853297,204808349.59,204808464.01,-14710844.97,-6.7,203808464.02,20380.85
68,2023-10-09 04:00:00+00:00,买入,255.31,802195,204808403.49,60.52,,,,
68,2023-10-18 04:00:00+00:00,卖出,252.7,802195,202714674.05,202714734.58,-2093729.44,-1.02,201714734.58,20171.47
69,2023-11-17 05:00:00+00:00,买入,232.0,873770,202714640.0,94.58,,,,
69,2024-01-08 05:00:00+00:00,卖出,236.14,873770,206332047.27,206332141.84,3617407.27,1.78,205332141.85,20533.21
70,2024-02-28 05:00:00+00:00,买入,200.42,1029498,206331987.27,154.57,,,,
70,2024-03-07 05:00:00+00:00,卖出,174.35,1029498,179492982.58,179493137.15,-26839004.69,-13.01,178493137.16,17849.31
71,2024-05-01 04:00:00+00:00,买入,182.0,986226,179493132.0,5.15,,,,
71,2024-06-06 04:00:00+00:00,卖出,174.6,986226,172195065.62,172195070.77,-7298066.38,-4.07,171195070.78,17119.51
72,2024-06-18 04:00:00+00:00,买入,186.56,923001,172195064.31,6.46,,,,
72,2024-07-31 04:00:00+00:00,卖出,227.9,923001,210351922.27,210351928.73,38156857.96,22.16,209351928.74,20935.19
73,2024-09-06 04:00:00+00:00,买入,232.6,904350,210351815.52,113.21,,,,
73,2024-10-14 04:00:00+00:00,卖出,220.13,904350,199074569.92,199074683.13,-11277245.6,-5.36,198074683.14,19807.47
74,2024-10-29 04:00:00+00:00,买入,264.51,752616,199074465.51,217.62,,,,
74,2025-01-08 05:00:00+00:00,卖出,392.95,752616,295740466.39,295740684.0,96666000.88,48.56,294740684.02,29474.07
75,2025-04-29 04:00:00+00:00,买入,285.5,1035869,295740599.5,84.5,,,,
75,2025-06-10 04:00:00+00:00,卖出,314.94,1035869,326236585.39,326236669.89,30495985.89,10.31,325236669.91,32523.67
76,2025-07-21 04:00:00+00:00,买入,334.4,975588,326236621.25,48.65,,,,
76,2025-07-31 04:00:00+00:00,卖出,319.61,975588,311807666.39,311807715.04,-14428954.86,-4.42,310807715.05,31080.77
77,2025-08-11 04:00:00+00:00,买入,335.0,930769,311807615.0,100.04,,,,
77,2025-11-13 05:00:00+00:00,卖出,423.13,930769,393836291.51,393836391.55,82028676.51,26.31,392836391.56,39283.64
78,2025-12-04 05:00:00+00:00,买入,449.94,875308,393836083.66,307.89,,,,
